player_id,player_name,player_hand,player_ht,player_age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,opponent_rank,surface,tourney_level,best_of,target,month
104731,Kevin Anderson,R,203,37,7,3,65,42,28,6,9,6,10,67,40,Grass,A,3,0,7
104731,Kevin Anderson,R,203,37,11,3,39,24,22,8,8,0,1,48,141,Grass,A,3,1,7
104731,Kevin Anderson,R,203,37,15,7,95,60,44,14,14,11,15,652,71,Hard,A,3,0,7
104731,Kevin Anderson,R,203,37,11,3,85,58,46,15,11,7,7,48,145,Grass,A,3,1,7
104745,Rafael Nadal,L,185,36,2,4,92,56,34,16,14,7,13,2,24,Hard,A,3,0,1
104745,Rafael Nadal,L,185,36,6,2,102,65,40,18,16,3,8,2,65,Hard,G,5,0,1
104745,Rafael Nadal,L,185,36,6,3,119,78,57,21,19,7,11,2,38,Hard,G,5,1,1
104745,Rafael Nadal,L,185,36,10,4,95,55,40,21,14,9,11,2,14,Hard,A,3,0,1
104755,Richard Gasquet,R,185,36,1,2,69,32,18,16,10,5,10,50,53,Clay,A,3,0,5
104755,Richard Gasquet,R,185,36,3,2,88,44,36,21,15,6,9,67,12,Hard,A,3,1,1
104755,Richard Gasquet,R,185,36,0,0,0,0,0,0,0,0,0,40,3,Hard,M,3,0,3
104755,Richard Gasquet,R,185,36,5,6,97,54,44,22,16,2,5,55,5,Grass,A,3,1,6
104755,Richard Gasquet,R,185,36,4,4,83,40,30,20,13,3,6,44,57,Clay,M,3,0,5
104755,Richard Gasquet,R,185,37,5,3,89,54,35,18,13,1,5,68,12,Hard,M,3,0,10
104755,Richard Gasquet,R,185,36,3,4,103,49,34,21,17,2,10,52,78,Clay,G,5,0,5
104755,Richard Gasquet,R,185,37,13,5,144,90,62,25,25,7,16,55,92,Hard,G,5,0,8
104755,Richard Gasquet,R,185,36,1,4,73,46,28,10,10,7,11,42,126,Clay,A,3,0,4
104755,Richard Gasquet,R,185,36,5,4,66,38,29,11,10,2,4,43,13,Hard,M,3,0,3
104755,Richard Gasquet,R,185,36,6,2,62,35,28,19,11,0,1,55,75,Grass,A,3,1,6
104755,Richard Gasquet,R,185,36,2,1,80,48,29,15,14,8,13,42,106,Hard,G,5,0,1
104755,Richard Gasquet,R,185,37,1,4,111,76,47,14,16,8,14,51,71,Grass,G,5,0,7
104755,Richard Gasquet,R,185,36,9,4,113,57,43,32,17,4,7,43,15,Clay,M,3,0,4
104755,Richard Gasquet,R,185,36,9,3,76,51,43,13,13,4,5,40,86,Hard,M,3,1,3
104755,Richard Gasquet,R,185,37,0,3,55,38,17,7,8,6,11,63,60,Hard,M,3,0,10
104755,Richard Gasquet,R,185,36,1,1,60,29,18,17,8,7,10,43,106,Clay,M,3,0,4
104755,Richard Gasquet,R,185,36,13,2,84,49,36,17,14,5,8,45,16,Hard,A,3,1,2
104755,Richard Gasquet,R,185,36,2,5,73,51,37,6,12,4,8,45,163,Hard,A,3,0,2
104755,Richard Gasquet,R,185,37,2,2,84,44,25,15,11,10,16,48,61,Clay,A,3,0,7
104755,Richard Gasquet,R,185,37,4,3,122,79,50,19,14,17,20,49,9,Grass,A,3,0,6
104755,Richard Gasquet,R,185,36,4,3,109,61,33,26,15,4,8,42,202,Clay,A,3,0,4
104755,Richard Gasquet,R,185,37,4,3,67,43,26,13,9,6,8,49,71,Grass,A,3,0,6
104755,Richard Gasquet,R,185,37,7,7,97,52,38,22,14,9,13,57,33,Hard,A,3,0,8
104755,Richard Gasquet,R,185,36,1,1,56,30,23,12,8,2,3,42,342,Clay,A,3,1,4
104755,Richard Gasquet,R,185,37,3,3,53,28,18,11,9,5,8,53,32,Hard,M,3,0,8
104755,Richard Gasquet,R,185,37,6,2,52,32,24,11,9,0,2,62,127,Hard,A,3,0,10
104755,Richard Gasquet,R,185,36,0,0,0,0,0,0,0,0,0,67,65,Hard,A,3,1,1
104755,Richard Gasquet,R,185,36,7,1,60,35,29,16,10,2,2,67,82,Hard,A,3,1,1
104755,Richard Gasquet,R,185,36,7,4,64,35,24,19,11,3,5,55,24,Grass,A,3,0,6
104755,Richard Gasquet,R,185,36,1,5,70,40,25,14,9,5,8,45,130,Hard,A,3,0,2
104755,Richard Gasquet,R,185,37,9,1,76,46,39,15,14,4,6,57,72,Hard,A,3,1,8
104755,Richard Gasquet,R,185,36,9,2,111,63,47,25,16,6,10,43,173,Hard,A,3,1,2
104755,Richard Gasquet,R,185,36,6,3,96,53,41,22,15,3,5,43,121,Hard,M,3,1,3
104755,Richard Gasquet,R,185,36,4,1,31,19,18,10,7,0,0,43,894,Clay,M,3,1,4
104755,Richard Gasquet,R,185,36,5,0,35,24,22,10,8,0,0,67,575,Hard,A,3,1,1
104755,Richard Gasquet,R,185,36,10,4,139,74,51,38,18,10,12,68,61,Hard,A,3,0,1
104755,Richard Gasquet,R,185,37,6,3,77,40,30,21,10,4,4,57,87,Hard,A,3,1,8
104755,Richard Gasquet,R,185,36,6,3,61,37,26,10,11,0,4,67,53,Hard,A,3,1,1
104755,Richard Gasquet,R,185,36,6,2,110,66,47,17,15,10,14,43,105,Hard,A,3,0,2
104792,Gael Monfils,R,193,37,7,8,94,59,45,17,15,3,6,140,109,Hard,A,3,1,10
104792,Gael Monfils,R,193,36,2,4,61,46,29,5,10,5,9,322,36,Clay,A,3,0,4
104792,Gael Monfils,R,193,37,11,2,53,35,31,7,9,1,1,140,181,Hard,A,3,1,10
104792,Gael Monfils,R,193,36,5,3,75,42,32,16,10,5,6,323,25,Hard,A,3,1,7
104792,Gael Monfils,R,193,36,6,5,55,29,23,4,8,1,5,211,2,Hard,M,3,0,8
104792,Gael Monfils,R,193,36,0,0,0,0,0,0,0,0,0,394,6,Clay,G,5,0,5
104792,Gael Monfils,R,193,36,19,5,87,51,41,14,14,1,4,276,8,Hard,M,3,0,8
104792,Gael Monfils,R,193,36,23,12,123,76,64,17,20,4,7,162,95,Hard,G,5,1,8
104792,Gael Monfils,R,193,36,3,5,71,35,27,23,11,2,2,211,12,Hard,M,3,1,8
104792,Gael Monfils,R,193,36,1,1,21,11,4,7,3,3,4,280,78,Hard,M,3,0,3
104792,Gael Monfils,R,193,37,8,1,68,45,37,9,10,5,5,89,47,Hard,A,3,1,10
104792,Gael Monfils,R,193,37,8,6,98,63,44,17,17,7,12,79,21,Hard,M,3,0,10
104792,Gael Monfils,R,193,36,5,7,59,33,28,13,9,3,3,276,4,Hard,M,3,1,8
104792,Gael Monfils,R,193,36,10,2,86,47,34,26,14,1,2,322,86,Hard,A,3,0,7
104792,Gael Monfils,R,193,37,9,6,96,49,37,22,14,5,8,140,52,Hard,A,3,1,10
104792,Gael Monfils,R,193,36,5,1,74,38,31,19,13,3,5,386,63,Clay,A,3,0,5
104792,Gael Monfils,R,193,36,14,8,101,55,45,25,15,5,6,276,29,Hard,M,3,1,8
104792,Gael Monfils,R,193,37,9,3,55,35,29,11,10,5,7,140,35,Hard,A,3,1,10
104792,Gael Monfils,R,193,36,9,1,60,30,26,17,10,2,2,276,62,Hard,M,3,1,8
104792,Gael Monfils,R,193,36,6,1,51,33,29,12,10,2,2,323,695,Hard,A,3,1,7
104792,Gael Monfils,R,193,36,8,13,112,55,39,23,17,8,14,162,8,Hard,G,5,0,8
104792,Gael Monfils,R,193,36,3,5,78,38,27,23,14,2,6,211,15,Hard,M,3,1,8
104792,Gael Monfils,R,193,37,10,5,90,48,36,17,14,4,7,89,14,Hard,A,3,0,10
104792,Gael Monfils,R,193,36,12,7,83,51,38,15,13,2,4,323,37,Hard,A,3,0,7
